rally,serve,hitpoint,speed,net.clearance,distance.from.sideline,depth,outside.sideline,outside.baseline,player.distance.travelled,player.impact.depth,player.impact.distance.from.center,player.depth,player.distance.from.center,previous.speed,previous.net.clearance,previous.distance.from.sideline,previous.depth,opponent.depth,opponent.distance.from.center,same.side,previous.hitpoint,previous.time.to.net,server.is.impact.player,id,train,outcome,gender
3,2,B,24.18106196,1.166528403,2.134669356,0.164817174,FALSE,TRUE,1.583668349,13.0386,0.399,11.6374,0.339,33.89217531,0.495468118,2.573982829,4.428249983,12.5504,3.2494,FALSE,B,0.415070871,TRUE,1641,1,UE,mens
7,1,F,40.99897042,0.889871818,2.833780095,0.755849372,FALSE,TRUE,3.204075686,13.7544,3.4514,13.6052,0.2508,37.0460117,0.655294307,0.95106971,3.592904359,13.7032,1.4034,FALSE,F,0.455638763,TRUE,7752,1,UE,mens
3,1,F,38.06481826,0.11601996,0.193612527,4.118534645,FALSE,FALSE,0.943661804,11.2734,0.5378,11.2842,0.4058,27.21909315,0.133877051,3.97087595,7.252267808,13.0164,2.8658,FALSE,B,0.556547776,TRUE,3300,1,W,mens
11,2,F,37.53888052,0.713129922,1.309571797,3.652460712,FALSE,FALSE,5.507198595,5.6688,1.301,11.1738,1.1454,21.9589991,2.646182465,2.078285552,6.459416792,14.9212,1.8984,TRUE,V,0.972831895,TRUE,6845,1,W,mens
10,1,F,32.05381244,2.386617764,1.340060487,2.035590617,FALSE,TRUE,1.591526764,13.4264,3.6168,13.2352,2.0368,37.52277389,0.621036315,2.148823273,2.380758377,14.3298,3.0652,FALSE,B,0.458991614,FALSE,5758,1,UE,mens
7,2,U,17.31685882,0.391821881,0.955120424,2.942510847,FALSE,FALSE,1.502667615,3.2142,0.8948,4.7102,1.0362,43.37732914,0.249056001,3.742859867,9.067420408,14.7438,3.337,TRUE,V,0.403658353,TRUE,1614,1,W,mens
4,1,B,37.91549018,0.571730958,1.045053498,2.942628069,FALSE,FALSE,2.413038292,13.8166,2.0674,13.753,0.3448,34.37276129,0.166707485,2.087564225,5.761775129,12.0934,1.441,TRUE,F,0.400550335,FALSE,8154,1,FE,mens
6,2,F,40.12931256,0.754934022,0.005699977,0.110178429,FALSE,TRUE,4.186494194,13.0798,2.1424,13.9058,1.9618,27.62568382,1.008770243,2.023392533,5.63638315,14.7522,0.5348,TRUE,F,0.668196639,FALSE,9482,1,UE,mens
9,2,F,35.17588257,0.043886671,0.094705238,5.273091739,FALSE,FALSE,3.046643071,13.855,2.3946,13.8712,0.652,38.88587627,0.484609551,1.714529872,3.242104918,13.7504,0.0804,TRUE,F,0.416032512,TRUE,2366,1,W,mens
4,2,F,34.96098856,0.694679332,0.157489645,2.471079392,TRUE,FALSE,1.371775842,12.6144,3.6726,13.128,2.4006,24.35254176,0.481293665,2.137307177,2.877526987,12.285,3.3996,FALSE,B,0.585519524,FALSE,2913,1,UE,mens
4,2,B,37.51847908,1.06412468,3.915922867,0.808822068,FALSE,TRUE,2.026862965,14.4604,1.2472,13.7236,0.641,36.75331889,0.543678409,2.376873933,2.771383811,12.8224,0.8522,TRUE,F,0.398336157,FALSE,846,1,UE,mens
3,2,F,41.72623974,0.50611053,0.753737403,1.420508022,FALSE,FALSE,2.043822399,12.3116,2.5722,11.3306,0.7792,29.69443589,0.92370524,1.548875505,4.974271471,15.0572,3.3486,FALSE,B,0.606382305,TRUE,4726,1,W,mens
6,1,F,41.50274291,0.194743344,0.244732926,4.498288388,TRUE,FALSE,1.685126049,13.8556,2.6544,13.7168,0.975,33.86259476,1.082446179,3.422959007,2.310398088,13.681,3.4,FALSE,B,0.483008781,FALSE,4115,1,UE,mens
9,2,F,30.47503598,0.411422143,0.306178253,7.108165602,FALSE,FALSE,3.40653519,14.2976,2.41,13.2486,0.831,28.74434405,0.279537108,1.404560205,3.9986229,10.4006,2.0284,FALSE,F,0.384598213,TRUE,4156,1,W,mens
5,1,B,35.98953088,-0.144369811,1.885000481,7.375106225,FALSE,FALSE,1.520678717,12.8698,1.2114,12.4708,0.256,33.08241907,0.592268376,1.889913368,3.422427162,13.9172,1.428,FALSE,F,0.497514532,TRUE,8712,1,UE,mens
7,1,F,29.78044973,2.06495749,3.312569824,1.127118684,FALSE,TRUE,3.153548516,14.6976,3.1826,14.0766,0.0908,40.38807694,0.209032548,1.526341952,5.033898807,13.6376,1.652,FALSE,F,0.389012518,TRUE,5871,1,UE,mens
7,1,F,38.71576072,1.170067271,2.604813956,0.462716193,FALSE,TRUE,1.763284946,15.0194,0.9762,14.3098,0.638,41.73760861,0.118440491,2.777846866,5.618258063,13.8524,0.7044,FALSE,F,0.378372636,TRUE,3379,1,UE,mens
8,2,B,32.08760976,1.423923306,2.990734735,0.761256245,FALSE,TRUE,5.061093202,15.0822,3.6196,15.8776,1.3786,38.95989892,0.358472503,1.180453685,4.466827019,13.0258,1.1862,TRUE,F,0.381346403,FALSE,5026,1,FE,mens
6,1,B,38.65849029,1.188265841,1.40450549,2.807520498,FALSE,TRUE,4.819065951,13.9546,1.459,15.4038,3.137,29.16312189,1.169355512,1.525731745,3.040832538,13.3404,1.9518,FALSE,F,0.543404838,FALSE,8333,1,UE,mens
6,2,F,40.06839488,0.473638962,0.339671276,2.51798948,FALSE,FALSE,1.331802087,13.4394,0.088,13.4162,1.4196,32.02732471,0.759195373,3.941652038,4.925619564,14.3708,1.2046,TRUE,F,0.543309987,FALSE,7115,1,W,mens
20,1,F,40.22808478,-0.078996797,2.33888101,6.598015614,FALSE,FALSE,3.680105085,14.8564,3.1696,14.7584,0.5092,34.69090294,0.752740646,1.312494105,4.137707531,13.5904,0.2918,FALSE,F,0.477319756,FALSE,6478,1,FE,mens
4,1,B,33.00792035,1.048138887,0.237408514,1.174517288,TRUE,TRUE,3.113511927,15.0826,2.8714,14.4952,0.1862,37.72979861,0.062663832,1.42847149,5.160209614,8.9626,1.0526,TRUE,F,0.25405023,FALSE,4895,1,FE,mens
3,1,F,34.368825,0.21890661,0.766736006,5.899421571,FALSE,FALSE,0.627280001,11.3886,0.7186,11.036,1.2374,24.74505887,0.852514415,2.816994642,3.88861466,13.0316,4.2996,FALSE,B,0.60221879,TRUE,2397,1,W,mens
6,1,B,19.60875248,3.928351206,1.264432092,1.315854985,FALSE,FALSE,1.878840973,13.3978,1.892,15.1936,2.4444,25.66616339,0.500569599,1.975728049,1.250548159,6.3566,0.3564,FALSE,B,0.229822387,FALSE,6679,1,W,mens
11,1,F,39.88997019,0.807155744,0.183506041,2.507300949,TRUE,FALSE,4.002764789,12.5608,1.277,14.6844,2.116,25.90927783,0.67900999,2.568180855,5.207796065,13.308,0.686,TRUE,F,0.596767549,TRUE,2726,1,UE,mens
7,1,F,36.62897463,0.259330635,2.169861101,3.218795879,FALSE,FALSE,6.598774116,7.3478,3.096,13.4306,0.538,16.51819173,1.386460745,0.551039126,6.987856332,12.6566,0.5594,TRUE,F,0.980174419,TRUE,7955,1,W,mens
5,1,F,12.75045159,0.155088532,1.780797081,7.992857979,FALSE,FALSE,2.552022476,5.0144,0.1986,7.5128,0.719,33.28004195,0.564137065,2.816123567,7.147346936,15.9308,2.4564,TRUE,V,0.560210258,TRUE,5236,1,W,mens
7,2,F,13.08532031,0.112571981,1.672228404,6.444988731,FALSE,FALSE,2.7670698,4.905,0.0676,7.6388,0.3602,33.59413866,0.207656448,3.18693623,7.438682247,15.1696,2.7504,TRUE,V,0.569843147,TRUE,3249,1,W,mens
4,1,F,40.81579085,0.134282534,0.540273399,4.339995605,TRUE,FALSE,4.908348549,15.7586,3.8232,13.7604,0.66,32.32279292,0.525258215,0.450659573,3.860901724,10.7564,1.4372,FALSE,F,0.367735795,FALSE,2815,1,FE,mens
4,2,F,39.4962053,0.383302071,0.786981717,2.000079897,FALSE,FALSE,2.835788723,11.126,2.4486,12.9442,0.2724,20.71932598,0.934751017,3.388742988,4.06199435,10.7894,2.2146,FALSE,F,0.625697521,FALSE,4325,1,W,mens
3,1,F,32.92130711,1.543395017,2.82945537,0.705428907,FALSE,TRUE,3.719087184,12.4728,4.0292,11.3166,0.4944,29.9396164,1.079092192,0.542881004,3.353384443,13.0612,4.3934,FALSE,F,0.522504707,TRUE,506,1,UE,mens
5,1,F,18.43192336,0.043621311,1.37592576,5.740816559,FALSE,FALSE,2.517990826,3.191,0.0334,5.6472,0.521,31.36227347,0.598524067,2.812492136,9.065517444,15.4388,2.0346,TRUE,V,0.583543478,TRUE,4367,1,W,mens
3,1,F,31.83811161,1.011763772,1.740840245,0.791198444,FALSE,TRUE,1.29001062,11.4282,2.3008,11.257,1.0222,35.3983495,0.408489419,2.112261534,4.293787655,13.0004,4.5014,FALSE,F,0.432352425,TRUE,8654,1,UE,mens
10,2,U,22.66253938,2.939768522,2.103877813,2.377176374,FALSE,FALSE,3.889888471,15.2724,0.5086,15.38,3.3798,39.42457084,0.325834297,0.666312615,3.799977186,13.3164,3.0994,FALSE,F,0.378377734,FALSE,8512,1,FE,mens
4,1,B,23.51899598,0.214878292,1.060592111,7.913314681,FALSE,FALSE,2.60479279,13.635,2.3188,13.4738,0.281,34.77462829,0.289483741,0.427016011,3.810289061,10.0004,2.1868,FALSE,F,0.302662194,FALSE,2056,1,W,mens
6,1,F,36.73753438,0.923519122,0.380344027,0.761653265,FALSE,TRUE,3.618284964,10.5184,3.2598,13.7692,1.671,20.7751335,0.651550348,2.431248337,4.517939158,11.4432,3.092,FALSE,B,0.662801964,FALSE,4470,1,UE,mens
5,1,F,35.7378421,1.26139711,2.788645958,0.361692328,FALSE,TRUE,2.958549442,13.295,2.602,12.4988,0.2474,33.05464359,1.453706081,1.203906495,2.22820448,14.629,2.3204,TRUE,F,0.541060913,TRUE,688,1,UE,mens
3,1,F,36.74846363,0.125095418,0.793806711,6.123657542,FALSE,FALSE,2.844300019,10.9034,2.0048,11.3698,0.801,20.08889266,2.008930975,3.335456465,3.846813785,12.9784,2.8888,FALSE,B,0.818051509,TRUE,8663,1,W,mens
3,2,F,28.13410831,0.653096524,0.384977571,4.091651497,TRUE,FALSE,1.818920746,12.8072,0.467,11.227,1.3678,32.0500422,0.768992377,3.473265699,1.818328385,12.3524,2.583,FALSE,B,0.42678135,TRUE,6507,1,UE,mens
5,2,U,25.34830331,0.67674754,0.995929495,3.393493956,FALSE,FALSE,3.419406311,5.5416,1.52,8.9452,1.1916,26.38683309,1.204214813,1.019242119,6.98648691,13.7714,2.9984,TRUE,V,0.690425816,TRUE,6669,1,W,mens
8,2,F,12.8295951,-0.079061666,1.705997341,10.42838995,FALSE,FALSE,5.101747732,7.255,2.5388,10.4034,1.4756,26.22709619,0.229346863,0.243953737,5.830158967,13.373,4.4778,FALSE,B,0.688050575,FALSE,9260,1,FE,mens
4,2,B,18.18238242,0.154906136,0.40312128,8.841040521,TRUE,FALSE,2.326389727,13.6626,4.204,12.9846,1.9786,36.90704481,0.633339972,0.011716719,1.703630593,12.308,2.7634,FALSE,B,0.390999665,FALSE,667,1,FE,mens
7,1,U,13.72405788,-0.947000029,1.821819499,0.113373924,TRUE,FALSE,6.593386517,16.1858,3.8534,13.9358,2.3442,36.74620215,0.22702926,1.244728216,3.01183893,12.476,2.8744,FALSE,U,0.367488094,TRUE,2153,1,FE,mens
12,1,B,37.05832323,-0.038129076,3.884954833,6.311068859,FALSE,FALSE,3.920201469,14.5542,0.9474,14.7126,2.9696,33.68554531,0.945831815,2.24600301,0.449949427,12.6902,1.33,FALSE,F,0.427452306,FALSE,1888,1,UE,mens
7,2,B,27.72934243,-0.05159673,2.731383787,5.014531794,FALSE,FALSE,1.065036675,13.4156,3.2416,14.3402,2.713,33.57284394,0.188294019,1.59609336,4.696527307,12.6868,2.488,FALSE,B,0.450605757,TRUE,1156,1,UE,mens
8,1,F,26.78182989,3.493950914,3.197347279,2.539222568,FALSE,TRUE,1.695974363,13.64,3.5926,13.5102,1.9016,33.24524406,0.837226059,2.025987945,0.84033973,12.2536,2.19,FALSE,B,0.408411419,FALSE,7387,1,UE,mens
10,2,F,27.76219694,1.520429938,1.011650749,1.171863841,FALSE,TRUE,1.685939797,16.267,1.8246,15.014,0.6966,40.9436225,0.303165616,0.89498164,4.237596393,12.6342,4.4392,TRUE,F,0.350864378,FALSE,2652,1,FE,mens
7,2,B,34.89064805,1.494296755,2.004458479,2.151916205,FALSE,TRUE,0.953532905,15.5116,1.9716,14.7358,1.4172,35.62633047,0.680801222,2.234079014,2.658992462,12.752,2.1182,FALSE,F,0.410804153,TRUE,5983,1,UE,mens
4,2,B,31.15424663,-0.179589177,3.071876844,7.850869283,FALSE,FALSE,3.928554935,13.5378,2.0594,12.3316,1.6794,33.30791298,0.052968847,1.731550662,5.650125306,12.299,0.9132,FALSE,F,0.415094567,FALSE,7587,1,UE,mens
11,2,B,11.19196907,1.053559579,0.609757585,7.784727705,TRUE,FALSE,6.207066028,5.201,0.7968,10.1448,2.9564,24.01822005,0.432083468,2.816495148,7.516668234,16.0914,1.0302,TRUE,V,0.883922602,TRUE,5463,1,UE,mens
8,1,F,33.44440307,1.545169315,3.377962024,1.638727667,FALSE,TRUE,0.645120795,15.2554,3.494,15.1044,2.8668,38.27078718,0.950292069,0.583047626,0.790882904,12.5726,1.442,FALSE,F,0.375362661,FALSE,7756,1,UE,mens
4,1,B,28.58275861,1.124096677,2.384935604,0.433519755,FALSE,TRUE,3.670768775,14.8124,2.6422,14.041,0.9466,32.83938501,0.533202893,0.567417838,3.005754477,11.348,1.3242,FALSE,F,0.389351816,FALSE,1874,1,FE,mens
4,1,B,17.69857258,-0.873287278,3.290548206,11.78371752,FALSE,FALSE,7.033391663,14.7938,3.3804,13.0076,3.4224,31.27388789,0.701083246,0.208806776,3.043872588,12.5992,0.328,FALSE,F,0.469966812,FALSE,5126,1,FE,mens
20,1,F,31.38000696,0.85855377,0.140314509,3.848702018,TRUE,FALSE,0.834494002,13.0738,2.5432,12.242,2.6102,27.9542195,0.840384465,2.871935694,1.644170417,14.0704,1.8462,FALSE,B,0.612608889,FALSE,6102,1,UE,mens
8,2,F,30.27316429,0.754952242,0.837129557,0.241518819,FALSE,FALSE,4.067456208,8.5744,0.3112,12.1836,2.1868,26.67364737,0.240014106,4.05739343,6.491013698,15.7598,2.4742,TRUE,F,0.750636322,FALSE,8275,1,W,mens
6,2,V,22.59935645,3.00324829,0.543453834,0.805599557,FALSE,TRUE,1.300815144,16.1356,2.6678,15.5986,1.483,38.44564774,0.752305091,0.81260703,0.380948394,11.9766,1.0114,FALSE,F,0.34590145,FALSE,4126,1,UE,mens
6,1,F,34.88606317,1.006414165,2.150665534,0.134228484,FALSE,TRUE,2.23766758,13.2924,2.2516,13.8116,0.075,37.2182653,0.187235525,2.682906537,5.559800523,12.9612,2.2698,FALSE,F,0.412879454,FALSE,4930,1,UE,mens
3,2,F,35.26103139,-0.051473686,2.060361439,7.381836495,FALSE,FALSE,0.847424427,12.3984,1.1548,11.5704,1.3352,31.81958496,0.337235605,3.603078777,6.063575884,13.4524,2.9786,FALSE,B,0.485998678,TRUE,7209,1,UE,mens
7,2,B,27.12172717,-0.002002571,3.740523895,6.340935154,FALSE,FALSE,1.298631048,13.9424,2.841,14.0566,1.5474,34.46434212,0.470271756,1.641231397,5.690301971,14.531,2.4054,FALSE,F,0.506053022,TRUE,5044,1,UE,mens
12,1,F,30.94645901,-0.201248535,1.80250884,8.024463041,FALSE,FALSE,5.677559,13.5016,3.1408,14.6768,2.4138,21.46077493,0.393805575,0.98510335,1.926004472,6.1808,0.5312,TRUE,B,0.292493283,FALSE,3019,1,FE,mens
25,2,B,23.76417133,1.016153615,1.397547133,4.153086455,FALSE,FALSE,2.29121195,6.5614,2.5452,4.4436,1.6708,18.64752802,3.186178479,0.300516241,4.432656754,11.6368,3.4188,TRUE,V,1.017677001,TRUE,1419,1,W,mens
4,1,B,36.61236858,0.112159895,1.430394977,5.84158067,FALSE,FALSE,3.553287447,15.248,3.2582,14.9752,0.2846,30.50540539,0.276282122,1.206496293,5.900260071,10.1838,0.3576,TRUE,F,0.362126349,FALSE,1165,1,W,mens
4,1,B,28.12102574,-0.436938531,1.803360137,9.894152126,FALSE,FALSE,3.236551109,15.429,2.3794,13.8492,0.4454,36.02776736,0.541398753,0.625017841,2.209685963,12.2288,1.4274,FALSE,F,0.371240467,FALSE,9403,1,FE,mens
12,2,F,39.32012454,0.552587334,0.185393634,0.235905373,TRUE,FALSE,0.480453952,13.181,3.5098,13.6614,3.5026,34.6672284,0.311510873,1.74163263,5.674673738,12.956,1.704,FALSE,F,0.442274021,FALSE,6314,1,UE,mens
4,1,F,34.78217885,1.737349775,2.226581283,2.260592167,FALSE,TRUE,2.423625598,13.3854,1.6772,13.7244,0.7226,35.70042808,0.08249616,1.292279498,5.39033211,12.2456,2.1324,FALSE,B,0.37314013,FALSE,8022,1,FE,mens
5,2,F,31.5939923,-0.095407651,2.732269796,7.706952432,FALSE,FALSE,1.829901353,13.5956,2.5378,12.0386,1.5764,33.61947065,0.706670321,2.932985731,1.561856809,13.673,1.8338,FALSE,B,0.469601065,TRUE,3287,1,UE,mens
3,1,F,36.75857408,0.479986489,1.378024218,2.192064151,FALSE,FALSE,3.996612826,9.8486,2.6948,11.3378,1.014,19.05883824,1.686556172,0.44196258,4.902383247,13.4744,3.95,FALSE,B,0.882448783,TRUE,2481,1,W,mens
9,2,B,28.01221132,0.290074844,0.414545207,3.315057776,FALSE,FALSE,2.631871197,14.9712,4.2806,14.9214,1.6492,35.43016164,0.225327699,0.780307424,5.127943356,11.8796,3.4278,FALSE,F,0.405336023,TRUE,6130,1,W,mens
11,2,B,27.89852345,-0.111009369,3.490214536,6.775483808,FALSE,FALSE,1.895203736,14.5828,2.7544,14.973,0.8998,34.63730848,0.215903766,1.233687688,6.346545517,14.3746,0.211,FALSE,F,0.495855992,TRUE,7128,1,UE,mens
6,2,U,31.37307835,0.86938235,0.132992878,0.061954617,TRUE,TRUE,4.818137702,9.0448,1.6034,13.8602,1.7658,19.73893158,0.642018822,3.292425834,6.949497014,13.9772,0.985,TRUE,F,0.92407666,FALSE,7695,1,UE,mens
4,1,F,37.89149693,0.552749774,0.79171709,3.313270045,FALSE,FALSE,2.627560816,15.4174,1.5542,14.7554,0.9886,37.80043137,0.35394155,1.695577197,2.340327277,11.3052,3.5134,FALSE,F,0.331492922,FALSE,4973,1,W,mens
8,2,F,35.64344954,1.771855588,0.928339777,1.747769066,FALSE,TRUE,4.485982777,15.2756,2.8822,15.1918,1.603,35.60246022,0.120449455,1.68156247,5.335030595,12.1734,0.816,FALSE,F,0.368566042,FALSE,4788,1,UE,mens
4,1,F,37.26361092,0.911257471,0.466699866,0.378277886,FALSE,FALSE,2.748195743,15.3134,1.0264,14.5254,1.6064,36.4256056,0.432499867,1.626695831,2.788990765,12.1334,4.3662,FALSE,B,0.369179444,FALSE,6403,1,W,mens
3,1,F,37.49359808,1.347586672,0.829184844,1.674488466,FALSE,TRUE,2.978087608,14.1792,0.3712,11.4026,0.7056,25.33634509,1.333893998,4.075822478,0.868257883,12.7348,4.3242,FALSE,F,0.586594379,TRUE,3426,1,UE,mens
8,1,F,38.42915153,-0.061424041,2.064510393,7.636763883,FALSE,FALSE,1.961098876,13.3378,3.4566,13.4614,1.4994,25.40081858,1.23708756,2.423096049,1.750317183,14.8862,2.349,FALSE,B,0.723983438,FALSE,4539,1,UE,mens
5,1,F,29.35848516,0.371608244,1.10575032,7.880552021,FALSE,FALSE,3.306927577,15.0556,3.8868,14.6298,0.6074,31.53707089,0.275388232,1.303995826,4.797620441,9.9118,0.3742,FALSE,F,0.326252302,TRUE,1043,1,W,mens
7,2,B,37.16693806,0.146933633,0.122934024,4.821124121,FALSE,FALSE,1.917217077,12.3518,2.2642,14.1812,1.6906,28.1860425,0.760621518,2.02843452,4.781880303,13.5294,3.6058,FALSE,F,0.615025986,TRUE,5944,1,W,mens
5,1,F,39.90494962,0.821089692,1.565062965,0.481833735,FALSE,TRUE,1.250420425,12.2588,0.456,13.0518,1.4228,21.71731055,1.839481765,3.935644604,2.862485092,15.5748,2.6654,TRUE,F,0.93474666,TRUE,8774,1,UE,mens
11,1,B,23.59346056,2.556268333,2.66218797,1.146213956,FALSE,TRUE,1.055554016,13.7858,1.234,13.862,0.1812,34.08994835,0.685268619,1.58367526,0.606494483,12.1802,2.7194,TRUE,F,0.39499009,TRUE,8660,1,UE,mens
3,1,F,37.43922605,0.465858147,1.488198876,2.937661648,FALSE,FALSE,3.566188744,10.138,3.0286,11.2234,0.3684,19.95008878,2.543500416,2.398624655,4.080737638,13.4758,2.7484,FALSE,B,0.885679027,TRUE,6807,1,W,mens
